top - 13:24:18 up  2:13,  1 user,  load average: 0.42, 0.39, 0.39
Tasks: 210 total,   1 running, 208 sleeping,   1 stopped,   0 zombie
%Cpu(s):  7.4 us, 18.5 sy,  0.0 ni, 70.4 id,  0.0 wa,  0.0 hi,  3.7 si,  0.0 st
MiB Mem :   2908.8 total,    159.4 free,   1331.9 used,   1417.5 buff/cache
MiB Swap:   1873.3 total,   1850.4 free,     22.9 used.   1329.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1888 anjp      20   0  310372   6456   5876 S   0.0   0.2   0:00.01 gsd-a11y-settin
   1889 anjp      20   0  451160  22972  17452 S   0.0   0.8   0:00.21 gsd-color
   1892 anjp      20   0  375416  13652  11644 S   0.0   0.5   0:00.03 gsd-datetime
   1896 anjp      20   0  312152   7308   6444 S   0.0   0.2   0:00.13 gsd-housekeepin
   1903 anjp      20   0  340548  21236  16480 S   0.0   0.7   0:00.13 gsd-keyboard
   1904 anjp      20   0  642956  23728  18208 S   0.0   0.8   0:00.16 gsd-media-keys
   1908 anjp      20   0  524260  23208  17676 S   0.0   0.8   0:00.17 gsd-power
   1909 anjp      20   0  249840  11072   9624 S   0.0   0.4   0:00.02 gsd-print-notif
   1919 anjp      20   0  457844   6508   5892 S   0.0   0.2   0:00.03 gsd-rfkill
   1924 anjp      20   0  236276   6340   5812 S   0.0   0.2   0:00.02 gsd-screensaver
   1927 anjp      20   0  465756   8652   7516 S   0.0   0.3   0:00.05 gsd-sharing
   1933 anjp      20   0  232260   6216   5160 S   0.0   0.2   0:00.03 gsd-disk-utilit
   1936 anjp      20   0  385992   7672   6764 S   0.0   0.3   0:00.02 gsd-smartcard
   1937 anjp      20   0  319288   8984   7944 S   0.0   0.3   0:00.03 gsd-sound
   1938 anjp      20   0  341140  21524  16368 S   0.0   0.7   0:00.13 gsd-wacom
   1941 anjp      20   0  163472   6984   6368 S   0.0   0.2   0:00.01 ibus-memconf
   1950 anjp      20   0  347224  27400  16680 S   0.0   0.9   0:01.18 ibus-extension-
   1961 anjp      20   0  805100  50128  34972 S   0.0   1.7   0:00.37 evolution-alarm
   1978 anjp      20   0  237248   7164   6548 S   0.0   0.2   0:00.05 ibus-portal
   2009 anjp      20   0  342344  13548  11740 S   0.0   0.5   0:00.05 gsd-printer
   2020 anjp      20   0   20812    380      0 S   0.0   0.0   0:00.00 VBoxClient
   2021 anjp      20   0  152948   2320   1748 S   0.0   0.1   0:00.01 VBoxClient
   2068 anjp      20   0   20812    192      0 S   0.0   0.0   0:00.00 VBoxClient
   2069 anjp      20   0  153048   2480   2236 S   0.0   0.1   0:00.01 VBoxClient
   2071 anjp      20   0  163472   7236   6616 S   0.0   0.2   0:00.14 ibus-engine-sim
   2081 anjp      20   0   20812    344      0 S   0.0   0.0   0:00.00 VBoxClient
   2082 anjp      20   0  153568   2472   2108 S   0.0   0.1   0:27.09 VBoxClient
   2085 anjp      20   0   20812    380      0 S   0.0   0.0   0:00.00 VBoxClient
   2086 root      20   0   86248   1336   1196 S   0.0   0.0   0:00.00 VBoxDRMClient
   2104 anjp      20   0  163044   6608   6020 S   0.0   0.2   0:00.02 gvfsd-metadata
   2110 anjp      20   0  510472  69136  51856 S   0.0   2.3   0:00.33 gsd-xsettings
   2144 anjp      20   0 2533964  24772  19648 S   0.0   0.8   0:00.12 gjs
   2171 anjp      20   0  346988  27664  20660 S   0.0   0.9   0:00.24 xdg-desktop-por
   2177 anjp      20   0  194204  24424  17256 S   0.0   0.8   0:00.17 ibus-x11
   2272 anjp      20   0  497156  33796  25824 S   0.0   1.1   0:00.43 update-notifier
   2603 anjp      20   0  719816  17420   6956 S   0.0   0.6   0:00.44 snap
   4500 anjp      20   0  388688   8780   7828 S   0.0   0.3   0:00.03 gvfsd-network
   4514 anjp      20   0  316812   8648   7708 S   0.0   0.3   0:00.04 gvfsd-dnssd
   7973 root      20   0       0      0      0 I   0.0   0.0   0:03.43 kworker/u4:0-flush-8:0
   7974 root      20   0       0      0      0 I   0.0   0.0   0:01.48 kworker/1:1-events
   8044 anjp      20   0 2866940  66412  50000 S   0.0   2.2   0:00.79 gjs
   8181 anjp      20   0  569796  60060  46580 S   0.0   2.0   0:02.82 gnome-terminal-
   8199 anjp      20   0   11268   5476   3784 S   0.0   0.2   0:00.04 bash
   8367 anjp      20   0  218140  39400  30764 S   0.0   1.3   0:00.08 Socket Process
   8385 anjp      20   0 2472968 140656  88104 S   0.0   4.7   0:05.47 Privileged Cont
   9431 anjp      20   0 2435536  91588  71264 S   0.0   3.1   0:00.63 WebExtensions
  10172 anjp      20   0 2435468 115360  87880 S   0.0   3.9   0:02.27 Isolated Web Co
  10191 anjp      20   0  336044  40828  30768 S   0.0   1.4   0:00.09 RDD Process
  10200 anjp      20   0 2424452  96760  77888 S   0.0   3.2   0:00.53 Isolated Web Co
  10212 root      20   0       0      0      0 I   0.0   0.0   0:03.97 kworker/u4:3-events_unbound
  10244 anjp      20   0 2457492 106868  87904 S   0.0   3.6   0:11.60 Isolated Web Co
  10272 anjp      20   0 2412076  84500  71028 S   0.0   2.8   0:00.22 Isolated Web Co
  10521 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2-events
  10561 anjp      20   0 2402400  64912  52844 S   0.0   2.2   0:00.11 Web Content
  10589 anjp      20   0 2402404  64556  52492 S   0.0   2.2   0:00.11 Web Content
  10613 anjp      20   0 2402396  63752  51820 S   0.0   2.1   0:00.08 Web Content
  10629 root      20   0       0      0      0 I   0.0   0.0   0:00.30 kworker/0:1-events
  10704 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker/u4:1-events_power_efficient
  10711 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0-events
  10740 anjp      20   0  414776  44064  13748 T   0.0   1.5   0:00.67 glances
